,Rank,Total Return (%),Return/Drawdown,Outperformance (%),Sharpe Ratio,Win Rate (%),Profit Factor,Trades,Max Drawdown (%),Combine Method,MA Type,MA Length,Z-Score Lookback,Buy Threshold,Sell Threshold,Weights
0,1,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.58,"MVRV: 0.20, NUPL: 0.80"
1,2,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.61,"MVRV: 0.20, NUPL: 0.80"
2,3,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.60,"MVRV: 0.20, NUPL: 0.80"
3,4,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,155,0.50,-0.59,"MVRV: 0.20, NUPL: 0.80"
4,5,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.65,"MVRV: 0.20, NUPL: 0.80"
5,6,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.65,"MVRV: 0.20, NUPL: 0.80"
6,7,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.65,"MVRV: 0.20, NUPL: 0.80"
7,8,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.65,"MVRV: 0.20, NUPL: 0.80"
8,9,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.64,"MVRV: 0.20, NUPL: 0.80"
9,10,265.14,12.87,17.96,1.61,100.0,∞,5,20.60,Weighted,WMA,100,150,0.50,-0.64,"MVRV: 0.20, NUPL: 0.80"
